"BOKFØRINGSDATO";"RENTEDATO";"ARKIVREFERANSE";"TYPE";"TEKST";"UT FRA KONTO";"INN PÅ KONTO";
"2013-08-19";"2013-08-19";"17017339576";"Varekjøp";"18.08 7 - ELEVEN 7043 ULLERN ALLE  OSLO";52.00;;
"2013-08-19";"2013-08-19";"17017269792";"Varekjøp";"19.08 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-08-19";"2013-08-19";"17017287400";"Varekjøp";"17.08 RIMI Gran  GRAN";18.59;;
"2013-08-16";"2013-08-16";"17017812929";"Varekjøp";"16.08 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-08-16";"2013-08-16";"17017844032";"Varekjøp";"15.08 TELENOR ARENA 2 WIDERØEVN. 1 FORNEBU";88.00;;
"2013-08-16";"2013-08-16";"17017152569";"Varekjøp";"15.08 TELENOR ARENA 2 WIDERØEVN. 1 FORNEBU";69.00;;
"2013-08-15";"2013-08-15";"17017148487";"Papirbasert reserve-løsning bet.terminal";"10.08 KOBBERHAUGEN SINOBERVN. I OSLO";185.00;;
"2013-08-15";"2013-08-15";"17017872674";"Varekjøp";"15.08 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-08-15";"2013-08-15";"50001685147";"Visa";"*9469 13.08 NOK 35.00 FINN TORGET AS Kurs: 1.0000";35.00;;
"2013-08-15";"2013-08-15";"17017148539";"Papirbasert reserve-løsning bet.terminal";"10.08 KOBBERHAUGEN SINOBERVN. I OSLO";10.00;;
"2013-08-14";"2013-08-14";"17017190666";"Varekjøp";"14.08 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-08-14";"2013-08-14";"17017590395";"Varekjøp";"13.08 7 - ELEVEN 7043 ULLERN ALLE  OSLO";34.00;;
"2013-08-13";"2013-08-13";"17017245251";"Varekjøp";"13.08 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-08-13";"2013-08-13";"50001685147";"Visa";"*9469 30.07 EUR 9.10 LUCIA E MARIA Kurs: 8.0044";72.84;;
"2013-08-13";"2013-08-13";"17017024313";"Varekjøp";"12.08 MENY CC VEST LILLEAKERVN  OSLO";438.21;;
"2013-08-12";"2013-08-12";"17017719998";"Varekjøp";"10.08 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";175.00;;
"2013-08-12";"2013-08-12";"17017100053";"Varekjøp";"12.08 SAXEN SKØYEN HOVFARET 17  OSLO";290.00;;
"2013-08-12";"2013-08-12";"17017213810";"Varekjøp";"10.08 Rimi Roa  Oslo";36.30;;
"2013-08-12";"2013-08-12";"17017269745";"Varekjøp";"12.08 ZEBITZ BAKERI LILLEAKERVN  OSLO";400.00;;
"2013-08-12";"2013-08-12";"17017782186";"Varekjøp";"10.08 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";527.54;;
"2013-08-12";"2013-08-12";"17017768490";"Varekjøp";"11.08 SMALHANS AS WALDEMAR THR OSLO";345.00;;
"2013-08-12";"2013-08-12";"17017373077";"Varekjøp";"11.08 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";72.00;;
"2013-08-12";"2013-08-12";"17017179753";"Varekjøp";"12.08 UNITED BAKERIES LILLEAKERVN. OSLO";31.00;;
"2013-08-09";"2013-08-09";"17017809657";"Varekjøp";"08.08 BYGDØY SUSHI BYGDØY ALLE  OSLO";590.00;;
"2013-08-09";"2013-08-09";"17017834362";"Varekjøp";"09.08 CISCO CATERING  PHILIP PERDE LYSAKER";50.00;;
"2013-08-09";"2013-08-09";"17017011611";"Varekjøp";"08.08 MENY CC VEST LILLEAKERVN  OSLO";457.80;;
"2013-08-08";"2013-08-08";"50968079152";"Giro";"Nettgiro fra: Hildegunn Mjelde Betalt: 07.08.13";;2476.00;
"2013-08-08";"2013-08-08";"17017504063";"Varekjøp";"08.08 SJØFLYHAVNA KRO MARTIN LINGE FORNEBU";243.00;;
"2013-08-08";"2013-08-08";"17017682736";"Varekjøp";"08.08 CISCO CATERING  PHILIP PERDE LYSAKER";25.00;;
"2013-08-08";"2013-08-08";"91521022";"Overføring";"OVERFØRING MELLOM EGNE KONTI";2476.00;;
"2013-08-07";"2013-08-07";"17017887059";"Varekjøp";"06.08 MCD 064 ALNA-SE STRØMSVEIEN";41.00;;
"2013-08-07";"2013-08-07";"17017112436";"Varekjøp";"07.08 CISCO CATERING  PHILIP PERDE LYSAKER";40.00;;
"2013-08-06";"2013-08-01";"50001685147";"Visa";"*9469 01.08 EUR 180.00 MONTE DEI PASCHI DI SIENA Kurs: 8.0225";1444.05;;
"2013-08-06";"2013-08-06";"17017721932";"Varekjøp";"05.08 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";115.00;;
"2013-08-06";"2013-08-06";"17017542322";"Varekjøp";"06.08 CISCO CATERING  PHILIP PERDE LYSAKER";50.00;;
"2013-08-06";"2013-08-06";"50001685147";"Visa";"*9469 01.08 EUR 0.50 AUTOST FI IMPRUNETA/FIREN Kurs: 8.0200";4.01;;
"2013-08-06";"2013-08-06";"50001685147";"Visa";"*9469 04.08 USD 1.01 Amazon Web Services Kurs: 6.0792";6.14;;
"2013-08-06";"2013-08-06";"50001685147";"Visa";"*9469 01.08 EUR 3.10 AUTOST MILANO TANG.NW/MAR Kurs: 8.0226";24.87;;
"2013-08-06";"2013-08-06";"17017050932";"Varekjøp";"05.08 SHELL 7-ELEVEN  ULLERNCHAUSS OSLO";942.16;;
"2013-08-06";"2013-08-06";"50001685147";"Visa";"*9469 01.08 NOK 60.00 SAS (IFS) Kurs: 1.0000";60.00;;
"2013-08-06";"2013-08-06";"50001685147";"Visa";"*9469 01.08 EUR 20.70 AUTOST FI SCANDICCI/MILAN Kurs: 8.0227";166.07;;
"2013-08-05";"2013-08-05";"17017736209";"Varekjøp";"03.08 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";177.00;;
"2013-08-05";"2013-08-05";"91360081";"Overføring";"TIL KREDITTKORTKONTO";6120.00;;
"2013-08-05";"2013-08-05";"17017143531";"Varekjøp";"02.08 MENY CC VEST LILLEAKERVN  OSLO";846.34;;
"2013-08-05";"2013-08-05";"17017019344";"Varekjøp";"03.08 IKEA SLEPENDEN  NESBRUVN. 40 BILLINGSTAD";50.00;;
"2013-08-05";"2013-08-05";"17017693812";"Varekjøp";"03.08 IKEA SLEPENDEN  NESBRUVN. 40 BILLINGSTAD";336.00;;
"2013-08-05";"2013-08-05";"17017025748";"Varekjøp";"02.08 ULLEVÅLSETER MARIDALEN OSLO";230.00;;
"2013-08-05";"2013-08-05";"50968059152";"Giro";"Nettgiro fra: Hildegunn Mjelde Betalt: 05.08.13";;5303.50;
"2013-08-05";"2013-08-05";"91520405";"Overføring";"OVERFØRING MELLOM EGNE KONTI";5303.00;;
"2013-08-05";"2013-08-05";"17017999823";"Varekjøp";"05.08 CISCO CATERING  PHILIP PERDE LYSAKER";33.00;;
"2013-08-05";"2013-08-05";"50968059152";"Giro";"Nettgiro fra: Hildegunn Mjelde Betalt: 05.08.13";;6119.50;
"2013-08-05";"2013-08-05";"17017375232";"Varekjøp";"03.08 BYGDØY SUSHI BYGDØY ALLE  OSLO";295.00;;
"2013-08-02";"2013-08-02";"50001685147";"Visa";"*9469 31.07 EUR 76.00 OSTERIA DI FONTERUTOL 905 Kurs: 8.0305";610.32;;
"2013-08-02";"2013-08-02";"17017012094";"Varekjøp";"01.08 NARVESEN 163 FLYPLASSVN.  GARDERMOEN";30.00;;
"2013-08-02";"2013-08-02";"17017638290";"Varekjøp";"02.08 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";206.00;;
"2013-08-02";"2013-08-02";"50001685147";"Visa";"*9469 31.07 EUR 6.00 IL FONDACCIO          057 Kurs: 8.0300";48.18;;
"2013-08-01";"2013-08-01";"50001685147";"Visa";"*9469 29.07 EUR 8.10 MIRAGLIA Kurs: 8.0358";65.09;;
"2013-08-01";"2013-08-01";"50001685147";"Visa";"*9469 30.07 EUR 6.00 COMUNE S.GIMIGNANO PA Kurs: 8.0350";48.21;;
"2013-08-01";"2013-08-01";"50001685147";"Visa";"*9469 29.07 EUR 1.30 AUTOST FI IMPRUNETA/CALEN Kurs: 8.0385";10.45;;
"2013-08-01";"2013-08-01";"50001685147";"Visa";"*9469 29.07 EUR 2.50 MIRAGLIA Kurs: 8.0360";20.09;;
"2013-07-31";"2013-07-31";"50001685147";"Visa";"*9469 29.07 EUR 15.10 INCOOP Kurs: 8.0060";120.89;;
"2013-07-31";"2013-08-01";"90010000";"Kreditrente";"KREDITRENTER";;5.77;
"2013-07-31";"2013-07-31";"50001685147";"Visa";"*9469 29.07 EUR 55.35 UNIVERSOSPORT         266 Kurs: 8.0056";443.11;;
"2013-07-30";"2013-07-30";"50001685147";"Visa";"*9469 28.07 NOK 99.00 SPOTIFY SPOTIFY PREMIU Kurs: 1.0000";99.00;;
"2013-07-30";"2013-07-30";"50001685147";"Visa";"*9469 25.07 EUR 11.20 AUTOST ROMA NORD/VALDICHI Kurs: 8.0143";89.76;;
"2013-07-30";"2013-07-30";"50001685147";"Visa";"*9469 27.07 EUR 3.59 CONS.AGR.SIENA ALIM.V 527 Kurs: 8.0139";28.77;;
"2013-07-30";"2013-07-30";"50001685147";"Visa";"*9469 26.07 EUR 65.20 RIST IL RE DEL GALLO Kurs: 8.0144";522.54;;
"2013-07-30";"2013-07-30";"50001685147";"Visa";"*9469 26.07 EUR 3.39 INCOOP Kurs: 8.0148";27.17;;
"2013-07-30";"2013-07-30";"50001685147";"Visa";"*9469 25.07 EUR 93.68 AGIP STAZ DUEPI PETROLI Kurs: 8.0143";750.78;;
"2013-07-30";"2013-07-25";"50001685147";"Visa";"*9469 25.07 EUR 20.00 BCC MONTERIGGIONI Kurs: 8.0145";160.29;;
"2013-07-29";"2013-07-29";"50001685147";"Visa";"*9469 25.07 EUR 62.00 IL FONDACCIO DAI DOTT 730 Kurs: 7.9887";495.30;;
"2013-07-29";"2013-07-29";"50001685147";"Visa";"*9469 25.07 EUR 1.50 AUTOGRILL SPA 0551    952 Kurs: 7.9933";11.99;;
"2013-07-26";"2013-07-26";"50001685147";"Visa";"*9469 22.07 SEK 51.00 QPARK AB Kurs: 0.9296";47.41;;
"2013-07-26";"2013-07-26";"50001685147";"Visa";"*9469 22.07 SEK 26.00 QPARK AB Kurs: 0.9296";24.17;;
"2013-07-25";"2013-07-25";"50001685147";"Visa";"*9469 23.07 SEK 50.00 SHELL TOCKSFORS 0688 Kurs: 0.9336";46.68;;
"2013-07-25";"2013-07-25";"17017486053";"Varekjøp";"25.07 SGS OSLO EDVARD GRIEG GARDERMOEN";150.00;;
"2013-07-25";"2013-07-25";"50975004181";"Lønn";"Lonn fra CISCO SYSTEMS NORWAY AS";;37594.16;
"2013-07-25";"2013-07-25";"50001685147";"Visa";"*9469 22.07 SEK 24.00 KARLSTADS KOMMUN Kurs: 0.9338";22.41;;
"2013-07-25";"2013-07-25";"91520832";"Overføring";"Mobilbank";10000.00;;
"2013-07-25";"2013-07-25";"50001685147";"Visa";"*9469 23.07 SEK 24.00 KARLSTADS KOMMUN Kurs: 0.9338";22.41;;
"2013-07-25";"2013-07-25";"17017124581";"Varekjøp";"24.07 KIWI 410 LILLEA LILLEAKERVN. OSLO";138.10;;
"2013-07-25";"2013-07-25";"17017129003";"Varekjøp";"24.07 KIWI 410 LILLEA LILLEAKERVN. OSLO";26.90;;
"2013-07-25";"2013-07-24";"91520554";"Overføring";"OVERFØRING MELLOM EGNE KONTI";;500.00;
"2013-07-25";"2013-07-25";"50001685147";"Visa";"*9469 23.07 SEK 200.00 SYSTEMBOLAGET KARLSTAD Kurs: 0.9336";186.71;;
"2013-07-25";"2013-07-25";"50001685147";"Visa";"*9469 22.07 SEK 38.00 SOLSTAKIOSKEN Kurs: 0.9337";35.48;;
"2013-07-25";"2013-07-25";"91520826";"Overføring";"Mobilbank";10700.00;;
"2013-07-25";"2013-07-25";"50001685147";"Visa";"*9469 23.07 SEK 117.00 Espresso House 197 Kurs: 0.9336";109.23;;
"2013-07-25";"2013-07-25";"17017565198";"Varekjøp";"25.07 FOODMARKED 916  OSL LUFTHAVN GARDERMOEN";103.00;;
"2013-07-24";"2013-07-24";"50001685147";"Visa";"*9469 22.07 SEK 35.00 TRAFIKONTORET STOCKHOLM Kurs: 0.9314";32.60;;
"2013-07-24";"2013-07-24";"50001685147";"Visa";"*9469 21.07 SEK 187.50 COOP NARA JARNTORGET Kurs: 0.9313";174.62;;
"2013-07-24";"2013-07-24";"50001685147";"Visa";"*9469 22.07 SEK 1400.00 KUNGSGATAN 1 Kurs: 0.9313";1303.84;;
"2013-07-24";"2013-07-24";"91520819";"Overføring";"OVERFØRING MELLOM EGNE KONTI";;128.15;
"2013-07-24";"2013-07-24";"17017359733";"Varekjøp";"23.07 SHELL AAS DROEB AKVEIEN  AAS";356.29;;
"2013-07-24";"2013-07-24";"50001685147";"Visa";"*9469 22.07 SEK 18.00 STATOIL OREBRO Kurs: 0.9317";16.77;;
"2013-07-23";"2013-07-23";"50001685147";"Visa";"*9469 19.07 SEK 1.00 TRAFIKONTORET STOCKHOLM Kurs: 0.9400";0.94;;
"2013-07-23";"2013-07-23";"50001685147";"Visa";"*9469 19.07 SEK 20.00 BEST WESTERN STRAND HOTEL Kurs: 0.9315";18.63;;
"2013-07-23";"2013-07-23";"50001685147";"Visa";"*9469 20.07 SEK 151.00 SATURNUS Kurs: 0.9315";140.66;;
"2013-07-23";"2013-07-23";"50001685147";"Visa";"*9469 19.07 SEK 162.00 HSC GOTLANDIA 11 Kurs: 0.9315";150.91;;
"2013-07-23";"2013-07-23";"50001685147";"Visa";"*9469 19.07 SEK 47.00 HSC GOTLANDIA 11 Kurs: 0.9315";43.78;;
"2013-07-23";"2013-07-23";"50001685147";"Visa";"*9469 20.07 SEK 453.00 VAPIANO Kurs: 0.9315";421.98;;
"2013-07-23";"2013-07-23";"50001685147";"Visa";"*9469 19.07 SEK 15.00 HSC GOTLANDIA 11 Kurs: 0.9313";13.97;;
"2013-07-23";"2013-07-23";"50001685147";"Visa";"*9469 21.07 SEK 68.00 Espresso House 256 Bir Kurs: 0.9315";63.34;;
"2013-07-23";"2013-07-23";"50001685147";"Visa";"*9469 21.07 SEK 38.00 TRAFIKONTORET STOCKHOLM Kurs: 0.9316";35.40;;
"2013-07-23";"2013-07-23";"50001685147";"Visa";"*9469 19.07 SEK 10.00 HESTGATAN 10 BAR & CAF Kurs: 0.9320";9.32;;
"2013-07-22";"2013-07-22";"50001685147";"Visa";"*9469 18.07 SEK 50.00 BEST WESTERN STRAND HOTEL Kurs: 0.9294";46.47;;
"2013-07-22";"2013-07-22";"50001685147";"Visa";"*9469 18.07 SEK 1000.00 BAKFICKAN Kurs: 0.9294";929.43;;
"2013-07-22";"2013-07-22";"50001685147";"Visa";"*9469 16.07 SEK 580.00 SURFERS Kurs: 0.9294";539.06;;
"2013-07-22";"2013-07-22";"50001685147";"Visa";"*9469 17.07 SEK 30.00 GOTLANDS KOMMUN Kurs: 0.9293";27.88;;
"2013-07-22";"2013-07-22";"50001685147";"Visa";"*9469 18.07 SEK 498.00 LEKSTUGAN Kurs: 0.9294";462.85;;
"2013-07-22";"2013-07-22";"50001685147";"Visa";"*9469 18.07 SEK 104.00 GABRIELA RESTAURANG PIZZE Kurs: 0.9294";96.66;;
"2013-07-22";"2013-07-22";"50001685147";"Visa";"*9469 18.07 SEK 25.00 CAFE GULA HUSET HB Kurs: 0.9296";23.24;;
"2013-07-19";"2013-07-19";"50001685147";"Visa";"*9469 17.07 SEK 40.00 RUTE STENUNGSBAGERI Kurs: 0.9283";37.13;;
"2013-07-19";"2013-07-19";"50001685147";"Visa";"*9469 17.07 SEK 30.00 GOTLANDS KOMMUN Kurs: 0.9283";27.85;;
"2013-07-18";"2013-07-18";"50001685147";"Visa";"*9469 16.07 SEK 113.00 HESTGATAN 10 BAR & CAF Kurs: 0.9265";104.69;;
"2013-07-18";"2013-07-18";"50001685147";"Visa";"*9469 16.07 SEK 30.00 GOTLANDS KOMMUN Kurs: 0.9267";27.80;;
"2013-07-18";"2013-07-18";"50001685147";"Visa";"*9469 16.07 SEK 30.00 GOTLANDS KOMMUN Kurs: 0.9267";27.80;;
"2013-07-17";"2013-07-17";"50001685147";"Visa";"*9469 14.07 SEK 349.36 OKQ8 Kurs: 0.9265";323.67;;
"2013-07-17";"2013-07-17";"50001685147";"Visa";"*9469 15.07 SEK 120.00 GOTLANDS KOMMUN Kurs: 0.9264";111.17;;
"2013-07-17";"2013-07-17";"50001685147";"Visa";"*9469 14.07 SEK 490.00 OKQ8 Kurs: 0.9265";453.97;;
"2013-07-17";"2013-07-17";"50001685147";"Visa";"*9469 15.07 SEK 110.00 VISBY GLASS Kurs: 0.9265";101.91;;
"2013-07-16";"2013-07-16";"50001685147";"Visa";"*9469 12.07 SEK 122.00 Espresso House 197 Kurs: 0.9269";113.08;;
"2013-07-16";"2013-07-16";"50001685147";"Visa";"*9469 14.07 SEK 30.00 GOTLANDS KOMMUN Kurs: 0.9270";27.81;;
"2013-07-16";"2013-07-16";"50001685147";"Visa";"*9469 12.07 SEK 41.00 PREEM Kurs: 0.9268";38.00;;
"2013-07-16";"2013-07-16";"50001685147";"Visa";"*9469 12.07 SEK 8.00 KARLSTADS KOMMUN Kurs: 0.9275";7.42;;
"2013-07-16";"2013-07-13";"50001685147";"Visa";"*9469 13.07 SEK 500.00 BANKOMAT STORTORGET 2 Kurs: 0.9270";463.48;;
"2013-07-16";"2013-07-16";"50001685147";"Visa";"*9469 12.07 SEK 203.00 APOTEKET ORNEN Kurs: 0.9270";188.18;;
"2013-07-16";"2013-07-16";"50001685147";"Visa";"*9469 13.07 NOK 42.00 APPLE ITUNES STORE-NOK Kurs: 1.0000";42.00;;
"2013-07-12";"2013-07-12";"17017226395";"Varekjøp";"12.07 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";124.00;;
"2013-07-12";"2013-07-12";"17017499215";"Varekjøp";"11.07 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";100.20;;
"2013-07-12";"2013-07-12";"17017895124";"Varekjøp";"11.07 7 - ELEVEN 7043 ULLERN ALLE  OSLO";53.09;;
"2013-07-11";"2013-07-11";"17017311846";"Varekjøp";"10.07 MENY CC VEST LILLEAKERVN  OSLO";75.60;;
"2013-07-11";"2013-07-11";"17017029755";"Varekjøp";"10.07 SCIROCCO HAIRDR LILLEAKERVN. OSLO";600.00;;
"2013-07-11";"2013-07-11";"17017212315";"Varekjøp";"10.07 SHELL 7-ELEVEN  ULLERNCHAUSS OSLO";32.00;;
"2013-07-11";"2013-07-11";"17017560466";"Varekjøp";"11.07 CISCO CATERING  PHILIP PERDE LYSAKER";35.00;;
"2013-07-11";"2013-07-11";"17017204818";"Varekjøp";"10.07 TANUM AS CC VES LILLEAKERVN. OSLO";349.00;;
"2013-07-10";"2013-07-10";"17017134321";"Varekjøp";"09.07 FAMENCO PIZZA J JARVEIEN 1 JAR";219.00;;
"2013-07-10";"2013-07-10";"17017798133";"Varekjøp";"09.07 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";181.69;;
"2013-07-10";"2013-07-10";"17017150435";"Varekjøp";"10.07 CISCO CATERING  PHILIP PERDE LYSAKER";35.00;;
"2013-07-09";"2013-07-09";"17017600036";"Varekjøp";"08.07 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";72.00;;
"2013-07-09";"2013-07-09";"17017967706";"Varekjøp";"09.07 CISCO CATERING  PHILIP PERDE LYSAKER";35.00;;
"2013-07-09";"2013-07-09";"50001685147";"Visa";"*9469 05.07 USD 1.07 Amazon Web Services Kurs: 6.3084";6.75;;
"2013-07-08";"2013-07-08";"17017399970";"Varekjøp";"06.07 KAFFEBRENNERIET THORWALD MGT OSLO";102.00;;
"2013-07-08";"2013-07-08";"17017689224";"Varekjøp";"05.07 NARVESEN 852 STORTORVET 8 OSLO";29.00;;
"2013-07-08";"2013-07-08";"17017499899";"Varekjøp";"08.07 CISCO CATERING  PHILIP PERDE LYSAKER";35.00;;
"2013-07-08";"2013-07-08";"17017486419";"Varekjøp";"05.07 DELI DE LUCA KA KARL JOHANS  OSLO";29.00;;
"2013-07-08";"2013-07-08";"17017213924";"Varekjøp";"06.07 MENY CC VEST LILLEAKERVN  OSLO";306.72;;
"2013-07-08";"2013-07-08";"17017139083";"Varekjøp";"07.07 GRØNN AS LILLEAKERVN  OSLO";220.00;;
"2013-07-08";"2013-07-08";"17017064354";"Varekjøp";"06.07 7 - ELEVEN 7043 ULLERN ALLE  OSLO";200.00;;
"2013-07-08";"2013-07-08";"17017078191";"Varekjøp";"06.07 TRATTORIA POPOL TRONDHEIMSVN OSLO";330.00;;
"2013-07-05";"2013-07-05";"17017674002";"Varekjøp";"05.07 CISCO CATERING  PHILIP PERDE LYSAKER";35.00;;
"2013-07-05";"2013-07-05";"17017808372";"Varekjøp";"04.07 FAMENCO PIZZA J JARVEIEN 1 JAR";219.00;;
"2013-07-05";"2013-07-05";"50797610022";"Overførsel";"Cecilia S K Kj ll Gorgas";;1500.00;
"2013-07-04";"2013-07-04";"17017962379";"Varekjøp";"04.07 CISCO CATERING  PHILIP PERDE LYSAKER";35.00;;
"2013-07-04";"2013-07-04";"17017958313";"Varekjøp";"03.07 MENY CC VEST LILLEAKERVN  OSLO";439.63;;
"2013-07-04";"2013-07-04";"17017304696";"Varekjøp";"04.07 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";72.00;;
"2013-07-03";"2013-07-03";"17017812066";"Varekjøp";"03.07 CISCO CATERING  PHILIP PERDE LYSAKER";35.00;;
"2013-07-03";"2013-07-03";"17017132822";"Varekjøp";"03.07 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";72.00;;
"2013-07-03";"2013-07-03";"50001685147";"Visa";"*9469 28.06 NOK 99.00 SPOTIFY SPOTIFY PREMIU Kurs: 1.0000";99.00;;
"2013-07-03";"2013-07-03";"17017008161";"Varekjøp";"02.07 60 PLANTASJEN RIS SKOLEVEI OSLO";59.90;;
"2013-07-02";"2013-07-02";"17017834610";"Varekjøp";"02.07 CISCO CATERING  PHILIP PERDE LYSAKER";35.00;;
"2013-07-02";"2013-07-02";"17017156394";"Varekjøp";"02.07 SAXEN SKØYEN HOVFARET 17  OSLO";290.00;;
"2013-07-02";"2013-07-02";"17017239473";"Varekjøp";"02.07 303 MEGA SKØYEN HOVFARET 17  OSLO";89.90;;
"2013-07-02";"2013-07-02";"17017819237";"Varekjøp";"02.07 303 MEGA SKØYEN HOVFARET 17  OSLO";9.80;;
"2013-07-02";"2013-07-02";"17017279233";"Varekjøp";"02.07 CISCO CATERING  PHILIP PERDE LYSAKER";16.00;;
"2013-07-01";"2013-07-01";"17017910899";"Varekjøp";"30.06 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";124.00;;
"2013-07-01";"2013-07-01";"17017420363";"Varekjøp";"29.06 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";153.00;;
"2013-07-01";"2013-07-01";"80085504807";"Overførsel";"Fra: ANNE RITA EGELAND Betalt: 01.07.13";;1250.00;
"2013-07-01";"2013-07-01";"17017250014";"Varekjøp";"28.06 SHELL 7-ELEVEN  ULLERNCHAUSS OSLO";887.25;;
"2013-07-01";"2013-07-01";"17017009847";"Varekjøp";"28.06 FAMENCO PIZZA J JARVEIEN 1 JAR";219.00;;
"2013-07-01";"2013-07-01";"17017225843";"Varekjøp";"01.07 NAF 24301 HASLEVANGEN  OSLO";645.00;;
"2013-07-01";"2013-07-01";"17017375244";"Varekjøp";"30.06 STATOIL LILLEAK LILLEAKERVEI OSLO";395.00;;
"2013-07-01";"2013-07-01";"17017296464";"Varekjøp";"29.06 NARVESEN 458 STORSENTER SANDVIKA";57.00;;
"2013-07-01";"2013-07-01";"17017620252";"Varekjøp";"29.06 CUBUS 815 SANDVIKA ST. SANDVIKA";297.00;;
"2013-07-01";"2013-07-01";"17017105815";"Varekjøp";"29.06 667 ULTRA BRODKORBSGT. SANDVIKA";344.10;;
"2013-07-01";"2013-07-01";"17017996464";"Varekjøp";"29.06 MENY CC VEST LILLEAKERVN  OSLO";315.88;;
"2013-06-30";"2013-06-28";"91360057";"Overføring";"TIL KREDITTKORTKONTO";559.20;;
"2013-06-30";"2013-06-28";"17017984726";"Varekjøp";"27.06 SHELL 7-ELEVEN  ULLERNCHAUSS OSLO";16.00;;
"2013-06-30";"2013-07-01";"90010000";"Kreditrente";"KREDITRENTER";;3.17;
"2013-06-30";"2013-06-28";"17017635283";"Varekjøp";"28.06 ZEBITZ BAKERI LILLEAKERVN  OSLO";250.00;;
"2013-06-30";"2013-06-28";"17017819419";"Varekjøp";"28.06 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-06-27";"2013-06-27";"17017652610";"Varekjøp";"26.06 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";70.00;;
"2013-06-27";"2013-06-27";"17017166411";"Varekjøp";"26.06 KIWI 410 LILLEA LILLEAKERVN. OSLO";282.72;;
"2013-06-27";"2013-06-27";"17017316079";"Varekjøp";"26.06 MAXBO VÆKERØ DRAMMENSVN.  OSLO";2039.00;;
"2013-06-27";"2013-06-27";"91360316";"Overføring";"TIL KREDITTKORTKONTO";1330.00;;
"2013-06-27";"2013-06-27";"17017892530";"Varekjøp";"26.06 43 PLANTASJEN VITAMINVN. 1 OSLO";450.00;;
"2013-06-27";"2013-06-27";"17017821518";"Varekjøp";"27.06 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-06-26";"2013-06-26";"50860185671";"Overførsel";"UTBET. AV TRUMFBONUS";;559.20;
"2013-06-26";"2013-06-26";"17017702371";"Varekjøp";"25.06 MAXBO HOLMEN HOLMENSENTER NESBRU";511.46;;
"2013-06-26";"2013-06-26";"50797620723";"Overførsel";"Carsten L. Mowinckel";;1330.00;
"2013-06-26";"2013-06-26";"17017457426";"Varekjøp";"26.06 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-06-25";"2013-06-25";"91523661";"Overføring";"OVERFØRING MELLOM EGNE KONTI";52462.34;;
"2013-06-25";"2013-06-25";"50797620024";"Overførsel";"Jorunn Mjelde";;6947.00;
"2013-06-25";"2013-06-25";"91360854";"Overføring";"TIL KREDITTKORTKONTO";6947.00;;
"2013-06-25";"2013-06-25";"17017251271";"Varekjøp";"25.06 CISCO CATERING  PHILIP PERDE LYSAKER";45.00;;
"2013-06-25";"2013-06-25";"91523723";"Overføring";"OVERFØRING MELLOM EGNE KONTI";11000.00;;
"2013-06-25";"2013-06-25";"50975004594";"Lønn";"Lonn fra CISCO SYSTEMS NORWAY AS";;79838.83;
"2013-06-21";"2013-06-21";"91360107";"Overføring";"TIL KREDITTKORTKONTO";470.00;;
"2013-06-19";"2013-06-19";"50326099451";"Lønn";"Fra: Norges Informas";;467.40;
"2013-06-18";"2013-06-18";"50001685147";"Visa";"*9469 15.06 NOK 33.00 OSLO KOMMUNE Kurs: 1.0000";33.00;;
"2013-06-17";"2013-06-15";"91521370";"Overføring";"OVERFØRING MELLOM EGNE KONTI";;1000.00;
"2013-06-17";"2013-06-17";"17017213995";"Varekjøp";"16.06 ÅPENT BAKERI AS DAMPPLASSEN  OSLO";159.00;;
"2013-06-17";"2013-06-16";"50902167830";"Minibank";"16.06 BNP 7-Eleven Bygdøy All 0265 Oslo";400.00;;
"2013-06-17";"2013-06-17";"17017188838";"Varekjøp";"15.06 MENY CC VEST LILLEAKERVN  OSLO";42.00;;
"2013-06-17";"2013-06-17";"17017657060";"Varekjøp";"15.06 REMA VÆKERØVEIE VÆKERØDVN 11 OSLO";88.30;;
